uuid,datetime,species,number_morbidity,disease_id,number_mortality,total_number_cases,location,,,
dc6503b2-5d39-4e58-bc02-ad67427c7a1e,02-05-21 16:45,pig,6,9,0,6,Village 1,,,
7c0154b2-4989-4f9f-8758-329219812fc4,29-04-21 17:04,pig,6,5,1,7,Village 1,,,
59f41871-fd50-4bdd-94a8-e8a5ab70ed79,27-04-21 9:37,dog,2,0,0,2,Village 3,,,
212af1a6-588c-492c-a7d7-906972445988,01-05-21 9:15,dog,1,9,2,3,Village 3,,,
c9d165c2-114e-4a2b-910d-65e2d17bbbba,07-05-21 9:50,buffalo,5,7,4,9,Village 2,,,
a0cc4fc9-9985-4ee7-8e1c-301252f8ea86,30-04-21 17:12,cat,5,6,3,8,Health Centre B,,,
c7e5a9f4-316b-4bb2-b71d-2354921ec8de,11-05-21 12:51,dog,5,1,5,10,Village 1,,,
89b5c5c0-1c53-42c7-8323-eb2988f7eb52,08-05-21 12:59,buffalo,1,3,2,3,Village 1,,,
2f51a926-9a52-40c1-91f2-99892d30ce2e,09-05-21 16:49,cat,6,8,2,8,Village 1,,,
ddb49d83-c4e8-4653-8339-5aa53104ca35,02-05-21 13:58,sheep,1,9,0,1,Health Centre B,,,
5743e545-9a76-45ef-a472-499133c62978,07-05-21 12:06,cat,2,4,3,5,Village 1,,,
dcd85144-137b-485f-bd3c-9c51d0d6c8ff,06-05-21 10:51,chicken,2,7,4,6,Village 2,,,
ede46cbf-a3ec-4a69-b812-b79d56257145,11-05-21 15:23,pig,1,0,3,4,Health Centre A,,,
e91a891f-21e0-49ae-9ed0-f7599d378850,06-05-21 13:14,dog,3,8,1,4,Village 2,,,
a60ce923-9afd-4a81-a18c-22a1d2d1cf93,03-05-21 15:21,cat,3,0,2,5,Village 2,,,
4c74aa1b-9bb9-4d96-adc0-5ce600406555,08-05-21 15:04,sheep,5,1,3,8,Health Centre A,,,
f29ddab1-a922-4356-9004-4ee1dde0698b,03-05-21 12:08,buffalo,5,7,1,6,Health Centre A,,,
df732a49-54b7-4fce-8d80-181da5c6343b,01-05-21 16:14,chicken,6,9,2,8,Health Centre A,,,
688817c5-d89e-47fe-bedb-b0376b9ae5a1,10-05-21 14:05,dog,2,9,5,7,Village 2,,,
"19ca48a3-ccda-""ABB","4eba-""ABB",bb00-59c894fbb314,28-04-21 12:15,dog,1,3,5,6,Village 2,
eecf180e-f639-4860-aac6-dab3582a1b47,03-05-21 11:03,chicken,4,4,3,7,Village 3,,,
"786106cd-de44-45b8-be0a-""ABB",3fc839037be3,29-04-21 12:06,cat,6,3,4,10,Village 1,,
ae58bf8e-3deb-42db-96b2-d6fb3898dd91,29-04-21 15:24,sheep,1,5,2,3,Village 3,,,
81341420-70a5-4124-a102-bd636f68256c,27-04-21 15:36,sheep,2,7,3,5,Village 3,,,
f7d009bf-fee1-4ed0-b8cc-90014313d992,07-05-21 9:40,dog,1,1,4,5,Village 3,,,
"b4213c98-9d65-4f4a-""ABB",910b-00193f56e700,11-05-21 18:28,sheep,2,9,2,4,Village 1,,
918cf0df-8fa7-4dd6-a2b8-7dc5e456e692,30-04-21 17:33,pig,6,1,1,7,Village 3,,,
48d00144-0ca1-4e57-8adf-04a284f7a4be,05-05-21 18:52,chicken,1,5,1,2,Health Centre A,,,
9c01bbbe-4607-4824-a420-a6789cf0628e,30-04-21 13:40,sheep,5,2,4,9,Village 1,,,
28b60d21-b0e1-4172-bd18-6452c364758c,04-05-21 9:28,cat,5,9,5,10,Health Centre A,,,
91d28624-a746-44cd-8ec8-5afc3f4c730e,05-05-21 12:50,cat,4,9,3,7,Village 1,,,
"74d5cc3a-""ABB","b678-47a4-a92a-""ABB",10b844c2f2ac,11-05-21 10:38,dog,2,8,5,7,Village 3,
"dd8cfbc0-3e09-408a-""ABB",9d05-285ec8b74d90,03-05-21 14:54,buffalo,1,3,4,5,Village 2,,
52024539-e7ac-43e1-8773-b17b22db702b,10-05-21 18:01,dog,1,7,2,3,Health Centre B,,,
a2df555f-16ee-480c-8ceb-22f4112b815a,11-05-21 10:41,buffalo,6,0,5,11,Village 1,,,
19981b62-c0ce-454b-9f39-32fc761e0b51,02-05-21 13:29,chicken,2,4,5,7,Health Centre B,,,
c4d2460c-f5dc-4418-a84b-7773798369af,27-04-21 10:41,sheep,4,6,3,7,Village 2,,,
"56eb776b-ba0a-""ABB",45ce-b723-6185c0fd93de,11-05-21 10:51,pig,2,1,2,4,Health Centre A,,
d506abc4-ca6e-4950-b2dc-7bd6ecbe7216,06-05-21 12:19,dog,3,0,3,6,Village 2,,,
180da630-19b4-4b49-a484-a1c40f752ec5,07-05-21 13:44,chicken,3,0,4,7,Health Centre B,,,
1b86117d-1233-4c70-baaf-bbda826e79d8,06-05-21 10:11,dog,4,4,4,8,Village 1,,,
"128c966c-6765-45cc-9d7a-""ABB",2c56bf96ef97,05-05-21 16:54,cat,2,2,2,4,Village 3,,
cf2d1953-4f26-4684-b76f-4166de73d7a3,28-04-21 15:16,chicken,3,1,0,3,Village 1,,,
05fecc78-6acc-4e96-84f5-74e8f376aaa5,08-05-21 18:06,chicken,3,8,4,7,Health Centre A,,,
398eb1eb-880b-4b46-8763-21a33f0dc782,11-05-21 14:54,dog,3,0,2,5,Health Centre B,,,
f3e459f0-c3c1-43ae-956f-ac038e2d8549,07-05-21 15:17,buffalo,4,6,0,4,Health Centre B,,,
1fcd1a61-4de5-43c7-8ece-7fce5308e7b7,29-04-21 11:17,dog,6,2,2,8,Village 2,,,
"b198afb5-3030-4238-8f4a-""ABB",2bd523ea18f5,04-05-21 18:54,cat,3,6,3,6,Health Centre B,,
"aa63df7c-5668-4131-9b3a-""ABB",a72c615c8717,07-05-21 14:42,chicken,2,1,1,3,Health Centre B,,
43676d00-5183-4ace-b629-13f41b93c1d1,28-04-21 9:37,chicken,4,8,2,6,Village 3,,,
8c3cefa5-7edf-4708-94f8-0f362dc932f7,29-04-21 10:15,buffalo,6,4,1,7,Village 2,,,
"18b8ba8a-""ABB",9bd1-44bd-bff9-794b00b870df,09-05-21 13:56,buffalo,2,2,4,6,Health Centre B,,
05432934-49a1-400b-bb45-67149e818402,03-05-21 10:30,buffalo,1,9,1,2,Health Centre A,,,
313f8705-2a21-46d1-949e-8413865e72d5,02-05-21 16:49,cat,6,6,3,9,Health Centre B,,,
ad19308b-dcdd-427c-bcf2-9aed12989807,06-05-21 17:25,cat,6,5,0,6,Village 1,,,
"9b8cb931-f4b5-4927-a4da-""ABB",d78797c8f8da,08-05-21 16:00,sheep,5,7,3,8,Village 3,,
49eb333e-b607-4d83-b84c-b09b971c3e79,04-05-21 18:51,cat,1,1,5,6,Health Centre A,,,
26566108-d9a6-4f79-916e-6df99fb501c7,08-05-21 10:52,buffalo,5,2,0,5,Village 1,,,
4e4b4f92-7af1-4f70-8304-5bb00548c508,02-05-21 14:04,cat,3,5,4,7,Village 2,,,
91d626ae-27b9-456e-8353-58902fb12fb9,08-05-21 17:51,cat,1,2,2,3,Health Centre A,,,
975a7982-07e3-48c9-8912-3576dea3864a,27-04-21 9:13,buffalo,3,3,2,5,Health Centre A,,,
"850ba51b-e4f2-4d6a-""ABB",b1e4-8a51f68942ae,28-04-21 12:49,sheep,6,6,0,6,Village 3,,
120660f1-6db6-42b6-8345-7a1da353fe5d,06-05-21 9:04,sheep,5,9,4,9,Village 1,,,
fe60eaee-dacd-4407-af55-dbec794a90fc,27-04-21 16:10,pig,4,9,2,6,Health Centre B,,,
40ea025f-ac05-42b8-9e4d-fe5b3e70ad05,04-05-21 18:13,pig,6,0,4,10,Village 3,,,
a60dfc64-d2c2-4fe9-ac59-31e869c4fd4d,28-04-21 10:19,pig,2,8,1,3,Health Centre B,,,
18fdb373-70e2-41b4-953b-082dba5f3dc7,11-05-21 9:39,chicken,2,2,4,6,Health Centre B,,,
e5bddacc-f0b0-42d4-9d40-6ebfc5818531,30-04-21 13:27,dog,3,0,2,5,Village 3,,,
f23f1e7b-f9cb-4f02-b47e-06431ac21205,11-05-21 13:44,pig,1,6,5,6,Health Centre A,,,
"fef103ca-""ABB",c125-4da1-a9ef-060d915c716d,11-05-21 18:02,sheep,4,2,3,7,Village 3,,
27703dcf-4b73-4925-a894-c187373d3612,30-04-21 9:07,cat,3,2,3,6,Health Centre A,,,
2e17be27-d61f-4420-8150-4b7ef8815b51,01-05-21 16:24,dog,5,7,1,6,Village 3,,,
8109fbed-a7cd-47d4-88f5-7c7dfb921867,28-04-21 11:53,chicken,5,6,3,8,Village 3,,,
"df740c6a-""ABB",2595-4438-8555-cd0b3651b64f,02-05-21 14:20,cat,2,4,5,7,Health Centre A,,
66d2478e-7648-4654-9aed-366da12ff781,04-05-21 16:58,cat,5,4,5,10,Health Centre A,,,
"1443b09a-""ABB","40da-""ABB",45d5-9ff9-59b73a2b1c84,28-04-21 11:17,dog,1,7,1,2,Health Centre B,
"8a251c23-a370-4f08-a6fa-""ABB",b0c7619ce68a,30-04-21 16:44,pig,4,0,0,4,Health Centre B,,
"f1f84ed4-c9b7-488a-""ABB",821b-baf955555a2d,02-05-21 15:19,dog,2,1,2,4,Village 1,,
ef0029d1-1c28-4d1d-8d2c-fce3e319991d,29-04-21 18:12,pig,3,1,3,6,Village 3,,,
7508c21e-6695-4266-ab23-b9febc87918f,03-05-21 10:48,cat,4,5,5,9,Village 2,,,
3bdadc73-9a26-4d0c-bb34-ee69fc93b7f0,05-05-21 14:35,chicken,3,3,4,7,Village 2,,,
9d24c777-8569-4a53-a064-cfafa2ed61b0,07-05-21 17:48,sheep,4,7,2,6,Village 2,,,
14f7f31e-1667-4feb-baff-884861aa8d1f,29-04-21 12:02,buffalo,5,5,5,10,Village 1,,,
3b63d0ae-3327-406d-8a82-4aaba8d34c0f,04-05-21 18:04,cat,1,6,1,2,Village 3,,,
31674bf8-7436-4157-95e7-16a3dcb39d47,02-05-21 15:40,buffalo,2,2,4,6,Village 1,,,
76832167-0768-4c0b-a1de-89955daf2e96,29-04-21 16:24,chicken,2,0,4,6,Village 1,,,
0e82f0c8-debd-4f91-b349-401011231a2c,11-05-21 9:10,cat,1,9,0,1,Village 3,,,
962992f9-46d1-452c-b480-52e548940e77,27-04-21 17:21,cat,6,4,5,11,Village 2,,,
2d6b1390-1ef4-4241-b6cb-42770a08d3a5,07-05-21 11:06,dog,4,0,3,7,Health Centre A,,,
f1ac6ce6-0762-497c-8d47-27246f4a1584,11-05-21 9:08,cat,4,2,4,8,Village 3,,,
329688db-5d45-4c82-b913-500ff72f26f9,29-04-21 10:30,buffalo,5,8,1,6,Village 2,,,
0db906a0-064d-400b-967b-9991ea80eb47,07-05-21 17:06,dog,5,0,2,7,Health Centre A,,,
"6b44598d-32ba-""ABB",4b83-8b24-f8b581b3147b,11-05-21 17:00,sheep,1,4,1,2,Health Centre A,,
"74d4dcb2-09aa-""ABB",48b1-b502-8da52ff657c2,09-05-21 11:20,cat,5,4,1,6,Village 2,,
2fc52aa4-f82d-44b8-8a70-d15585c48c2f,05-05-21 9:39,chicken,4,7,5,9,Village 3,,,
"0c9819fd-883a-""ABB",46a6-bd87-0fa3406ddf0d,10-05-21 14:45,sheep,1,5,0,1,Health Centre A,,
"c2dbbedf-6aff-4b0a-""ABB",98e0-c61736936e31,30-04-21 17:38,chicken,1,7,1,2,Village 1,,
275497ac-7449-4a0c-a5e2-f8904cd753c8,08-05-21 15:17,pig,4,3,5,9,Village 1,,,
73aee029-7ef8-4e04-9c14-7711bb74f577,30-04-21 15:13,pig,6,4,3,9,Village 2,,,
284475b4-4bd0-4a9f-9ef6-c7c2bd8ff1f2,02-05-21 11:34,pig,5,9,3,8,Village 2,,,
953cef55-2187-43fb-90a9-8ccb895b4458,04-07-21 10:08,cat,3,5,2,5,Village 3,,,
"92c0bd4a-""ABB",0966-4b16-8462-dab638a57fbb,03-11-21 11:10,pig,2,7,1,3,Village 1,,
"d659d2c1-4240-46ab-b7aa-""ABB",75eedcf1ea6f,22-10-21 9:35,sheep,1,0,0,1,Village 3,,
6afcd60b-64b1-4d8e-a4a1-0856d403be36,15-04-21 13:38,pig,4,3,3,7,Village 2,,,
ac3b79b6-4dab-418c-a8ef-798aa53e3e19,23-10-21 14:10,pig,3,0,0,3,Health Centre A,,,
50b7b9ac-d234-457f-98d0-fe778149d9f0,17-02-22 14:41,cat,3,6,3,6,Health Centre B,,,
01d95084-72b3-4ed5-8616-af3039b33795,27-08-21 18:21,sheep,6,6,1,7,Health Centre A,,,
7d26ad12-feed-4fb8-ab5b-6114b83643c1,29-09-21 14:38,sheep,2,7,3,5,Village 2,,,
"99778fd1-d4b6-4cdd-808a-""ABB",518fb61cdf8f,05-08-21 17:40,sheep,4,2,4,8,Village 3,,
3a4de0f1-a988-4917-89d3-d1f8df5a6d88,09-06-21 13:56,cat,3,0,1,4,Health Centre B,,,
1f137013-be03-401c-ab1d-7ab9d82fc371,20-04-21 13:50,chicken,2,6,3,5,Village 2,,,
1a493763-992e-475b-87e9-7527ab1a2ffa,20-03-21 10:31,buffalo,2,5,5,7,Village 3,,,
fa30d813-8858-436d-bb9e-0421afca8706,12-02-22 18:57,pig,6,3,3,9,Village 1,,,
ae033bfe-f10f-417f-83ef-20d49f1170b2,02-09-21 14:04,dog,4,7,5,9,Health Centre B,,,
2f1f1def-e020-479f-ada2-242f9bb85c79,18-04-21 15:24,buffalo,2,2,5,7,Health Centre B,,,
1e9fb16e-e809-4ca9-8e67-38634c25ac58,06-04-21 13:04,chicken,2,6,0,2,Health Centre A,,,
30fe34d7-4dc9-42b4-88db-2f1cd49a92d8,04-10-21 17:49,chicken,3,1,5,8,Health Centre A,,,
"07e79d5d-1859-4b6a-""ABB",9291-8d2a7754ab70,14-06-21 18:31,pig,6,5,3,9,Health Centre A,,
5868625b-6cd8-4be1-a087-3f54febb2ff0,01-05-21 16:56,dog,1,8,2,3,Village 3,,,
1de6e3dc-8908-46a9-9eaf-6c816c260902,26-12-21 17:43,dog,5,5,2,7,Village 3,,,
7edaf865-9a03-4eab-b247-6400e0a40368,28-11-21 12:47,chicken,6,3,2,8,Health Centre A,,,
33ff179c-c98e-4af7-adcc-420629c8c45a,03-09-21 13:33,dog,1,5,1,2,Village 2,,,
"2993bd98-ef2a-""ABB",43d7-a081-3da3e29e38bc,09-02-22 15:00,sheep,4,2,5,9,Village 1,,
05b1e058-8a81-4689-93ec-d142e59deff8,09-01-22 16:23,chicken,5,0,0,5,Village 2,,,
81cf0111-6453-4c8c-9d88-7eff9b9ebe63,30-05-21 12:47,dog,4,8,2,6,Village 1,,,
86c294dc-f148-46b2-b279-03c295049cfa,01-05-21 14:42,buffalo,5,6,0,5,Village 1,,,
"da075bb4-3617-475c-827a-""ABB",5b57089e9a61,08-10-21 10:20,pig,6,6,5,11,Village 1,,
"922300d9-e8ec-446a-""ABB",b682-e25cd70db547,27-07-21 9:08,pig,1,0,4,5,Village 2,,
9010d122-7573-4447-a4eb-2272c8428253,30-07-21 16:02,pig,6,6,1,7,Health Centre B,,,
17ff494b-3118-46f3-bc1d-0a2ad35d8062,31-03-21 11:24,buffalo,6,0,0,6,Village 1,,,
d2484451-0655-4774-a7db-8affae80fa98,28-09-21 16:49,dog,3,5,2,5,Village 1,,,
27376c40-43a1-4201-84de-758b1005fbe5,07-11-21 17:28,pig,2,6,2,4,Health Centre A,,,
8c479a20-d378-4946-9963-2d3d70c593f0,21-12-21 11:53,dog,1,6,2,3,Health Centre A,,,
f11c01d1-1297-4d4b-aae8-dee39c90b5ca,02-10-21 11:27,pig,5,9,2,7,Village 3,,,
7abc4df6-dc11-4be5-9283-f5723c25d875,20-07-21 9:31,sheep,6,3,0,6,Health Centre B,,,
e19f19f4-1f77-43a0-b043-614283584372,06-09-21 13:26,cat,3,4,4,7,Village 3,,,
5e9fc96e-3133-4d3e-8691-cef73ac42be7,15-10-21 12:48,chicken,3,5,3,6,Village 3,,,
66afc1fd-6f8c-47c9-8f61-53b0843efe73,11-09-21 11:32,cat,2,1,1,3,Health Centre B,,,
12edc2a9-4c3e-4ea3-b607-7a52e0936c7a,06-06-21 14:47,cat,1,6,4,5,Village 3,,,
0a3e45bf-17e4-4cb3-b778-e49f1c8620c2,26-09-21 16:52,chicken,1,5,1,2,Health Centre A,,,
2e15414b-4b4e-4007-9a5c-70665b8568f1,12-04-21 13:49,sheep,2,7,3,5,Village 1,,,
205cd7c2-c6b2-4bfb-8ab2-28e6e8818f41,22-09-21 9:36,cat,3,8,2,5,Village 2,,,
8c9fa293-19e4-44d5-b3d2-badf47f1a2b9,11-01-22 12:27,dog,4,8,4,8,Village 3,,,
46d11c62-972f-4cae-b4c4-f057c3254e5b,24-12-21 12:43,dog,5,5,4,9,Village 1,,,
e83dfe69-1b4f-424b-9dd5-ed69ad2b61d4,05-08-21 14:30,dog,2,5,2,4,Village 2,,,
"fd99f47a-""ABB","427d-4ffa-""ABB","9eaa-""ABB",dfc832e60c9c,13-05-21 11:10,cat,6,1,5,11,Village 2
8eeb03a2-c594-4c11-bb12-3c0aef635911,22-04-21 15:48,pig,2,2,3,5,Village 3,,,
01f2bee4-054e-4b87-bb5f-3a67a8d14a09,10-02-22 13:36,dog,6,9,2,8,Village 1,,,
78907586-8a62-41e1-a5c6-9f591b5fa51f,14-05-21 16:53,dog,1,8,3,4,Village 3,,,
dba52ba9-6385-48b9-946b-4f3ac0ebfd1d,18-10-21 9:13,cat,2,7,5,7,Health Centre A,,,
b3c327d2-1d7d-4e73-a906-540ff05aef95,18-10-21 9:45,buffalo,4,0,2,6,Health Centre B,,,
4f541b08-1ed7-4f87-9945-2407a9924dd0,29-10-21 13:58,chicken,5,5,3,8,Village 3,,,
"1cccbbc7-75b6-4b5a-""ABB",b23d-e3a398fe01bd,24-06-21 12:59,cat,1,2,5,6,Village 2,,
9724456b-5790-40b0-a3eb-3872b9e13e33,12-02-22 9:55,dog,2,4,1,3,Village 2,,,
6033f720-33b0-471f-96e0-abde1370c658,03-08-21 17:31,pig,4,5,4,8,Village 1,,,
"804b43fa-""ABB",2fa8-4239-80e8-d337a00dc6c4,01-10-21 15:07,chicken,4,7,4,8,Health Centre A,,
55aa11be-5790-4de4-bc65-a6d3a59ea431,20-09-21 9:13,buffalo,5,5,3,8,Village 1,,,
040c4aa3-3e23-4150-84e6-d3535da6d535,15-06-21 18:09,pig,3,1,1,4,Village 3,,,
c71efa32-4a6e-46fb-baf4-4d873f1a7fbc,04-07-21 16:30,cat,1,5,5,6,Health Centre A,,,
"5c986339-b907-4bff-a5ca-""ABB",46e9fbf3e942,28-10-21 10:22,dog,2,4,3,5,Village 3,,
0d8a0f24-89c1-4bef-91a1-03fd15cccd09,28-09-21 13:50,buffalo,1,2,4,5,Village 3,,,
dd9211c0-54c2-43f7-a557-42a1cbe66d88,24-06-21 15:30,sheep,3,5,1,4,Health Centre B,,,
"f85b19ac-1355-4c0a-""ABB",b2d7-74d6c699c663,03-05-21 9:18,sheep,1,4,0,1,Village 3,,
06afea62-5fe6-44f8-ba72-216feb7f9ffb,27-06-21 18:53,dog,6,5,1,7,Health Centre A,,,
f325c0a4-77c6-4aac-a7a0-c6e2d6c30393,30-09-21 10:10,sheep,6,6,2,8,Health Centre B,,,
df830633-ae95-4b8f-a6d2-a87465816949,06-05-21 11:08,buffalo,3,3,3,6,Village 3,,,
7231375c-e818-4895-a497-c8e012b6ad5c,27-04-21 9:41,cat,1,0,0,1,Village 1,,,
c9f94b55-3275-43d8-8edc-3e5219a5287c,09-07-21 14:18,cat,2,0,2,4,Health Centre A,,,
cc10ccb9-2e7f-4cfe-8204-c3043f220ae2,17-06-21 16:15,sheep,1,8,1,2,Health Centre B,,,
517af8eb-3ded-4618-93de-c02efc452830,26-01-22 14:11,sheep,6,3,4,10,Village 2,,,
e06ef242-d74f-4344-99d4-21ba083b7196,08-11-21 18:59,sheep,6,9,1,7,Health Centre A,,,
"c097cfea-""ABB",8634-472d-b66c-ff68d799b43a,15-10-21 10:10,pig,3,2,0,3,Village 3,,
6f8a138f-f965-4e9d-ad08-078b85e919d2,07-07-21 13:29,cat,5,8,4,9,Village 2,,,
"63b29145-f5bc-4d0e-acda-""ABB",660d7fa51671,10-11-21 13:22,cat,1,1,4,5,Village 1,,
01c2d87f-2d86-4830-89e8-03f5d570b423,17-01-22 9:54,chicken,1,3,5,6,Health Centre A,,,
a7fd2f24-d115-4a86-9bb9-5773e8916045,08-02-22 17:42,chicken,6,5,3,9,Village 3,,,
2416ba3c-e5bb-423b-84ec-8f15488c3d47,09-05-21 12:35,buffalo,4,6,2,6,Village 2,,,
77095275-862f-4743-ab73-6a687262b46d,11-08-21 15:14,buffalo,5,5,3,8,Health Centre A,,,
583e1ff8-d5d8-4a23-8c93-0201c38abcd7,18-07-21 15:35,dog,2,0,3,5,Health Centre B,,,
"55ee964f-38d5-435a-""ABB",8b3f-47a85378bcc4,20-08-21 9:54,chicken,2,6,4,6,Village 2,,
7133cba6-c5c9-45b6-bc8c-44cf2c7fd9f3,13-07-21 9:50,chicken,6,2,5,11,Village 1,,,
cb4e6546-1c33-4aa4-a733-25393090a4cb,19-10-21 15:00,sheep,1,8,3,4,Village 2,,,
"82372a0f-b9f7-4f1a-""ABB",a3f0-fd3545b75cad,29-04-21 15:32,sheep,6,2,3,9,Village 1,,
367ca59f-1476-491b-a8a2-f7b4be890a37,02-02-22 9:19,chicken,6,6,0,6,Village 3,,,
"86278801-0d79-484b-a57a-""ABB",97cc0f800118,21-08-21 17:02,pig,2,5,4,6,Village 1,,
144ffcf8-1875-4fd9-aee4-4684e0fe20a1,30-06-21 16:34,chicken,2,4,3,5,Village 2,,,
fe6ada50-0ff9-4382-9f34-36f46bb201c0,02-02-22 13:49,dog,5,4,1,6,Village 2,,,
408c6b21-b346-4a53-88b7-e8b59b676223,11-10-21 16:40,dog,6,4,0,6,Health Centre A,,,
"8f58e2e5-278f-471a-""ABB",9dfb-49a5cb84f408,28-04-21 9:48,sheep,4,6,2,6,Village 3,,
9ebb1a0b-1b6c-4e0b-bf62-9f9f35288d42,19-07-21 17:48,pig,3,7,0,3,Village 3,,,
8b40a7cb-3994-4a51-ac75-cd1e928c07e1,15-07-21 16:54,cat,6,0,1,7,Health Centre B,,,
84f7654b-0271-462d-8d99-cc2efaafa05b,03-05-21 12:27,cat,5,1,5,10,Village 1,,,
"54b75470-9ac8-4cc6-aada-""ABB",60957c8000f4,26-12-21 15:23,dog,2,3,1,3,Health Centre A,,
30523bc3-2467-4340-b411-db567006b0d8,04-01-22 9:17,dog,4,0,2,6,Village 2,,,
12750a89-1a5b-4d62-a4f5-2e6a874db50e,30-04-21 9:27,dog,2,6,4,6,Health Centre B,,,
d7482739-e3c7-44ee-b42e-df9dc7901609,25-12-21 15:22,buffalo,3,5,1,4,Village 3,,,
fbfc87ff-5f81-4d7c-b917-a042a97abe5b,16-06-21 14:00,cat,3,1,3,6,Village 1,,,
4fd922e6-195f-4089-8f66-fbace4b3ccbb,05-01-22 10:29,cat,2,2,1,3,Health Centre B,,,
c9162830-300b-4fe9-91fd-5f1128bf8fe9,08-05-21 11:44,sheep,1,4,0,1,Village 1,,,
69ddbeb8-028d-40bf-bb40-6139dd87681b,18-07-21 17:15,buffalo,2,0,0,2,Village 2,,,
